columna,familia,dtype,dtype_general,n_null,null_pct,n_unique,unique_pct,es_constante,uso_sugerido,motivo,min,p25,median,mean,p75,max,std
infys_secc_sitios_c2009_2014_derivado_mun_consenial_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.0,609.0,1648.0,1994.4887338126955,2833.0,7824.0,1757.9367420747326
infys_secc_sitios_c2009_2014_derivado_mun_coordx_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",-115.12154054449904,-103.98502230228335,-99.9171856307352,-100.52638054816131,-97.9120959258324,-88.18556874782004,6.1871687323502025
infys_secc_sitios_c2009_2014_derivado_mun_coordx_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",35.0,803.0,2070.0,2664.684334752575,4046.0,10327.0,2389.4621703237985
infys_secc_sitios_c2009_2014_derivado_mun_coordy_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",16.436123297770088,19.13980217505801,20.652663744581616,21.754023459711007,24.58103004017963,30.50245710681136,3.653034578964197
infys_secc_sitios_c2009_2014_derivado_mun_coordy_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",35.0,803.0,2070.0,2664.684334752575,4046.0,10327.0,2389.4621703237985
infys_secc_sitios_c2009_2014_derivado_mun_datum_mean_20092014,infys,float64,numeric,9131,0.031255,30,0.000103,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",27.0,28.987546699875463,30.66626213592233,32.690724743702106,32.902472699887035,84.0,9.735019765148648
infys_secc_sitios_c2009_2014_derivado_mun_datum_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",35.0,803.0,2070.0,2664.684334752575,4046.0,10327.0,2389.4621703237985
infys_secc_sitios_c2009_2014_derivado_mun_distancia_mean_20092014,infys,float64,numeric,18262,0.06251,24,8.2e-05,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.0,0.0010598834128245,0.0745033112582781,0.7208652084221903,0.3653846153846153,8.75264139216905,1.8336597993824677
infys_secc_sitios_c2009_2014_derivado_mun_distancia_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.0,604.0,1614.0,1984.2296486051976,2810.0,7818.0,1752.0663499498185
infys_secc_sitios_c2009_2014_derivado_mun_errorprecision_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",3.5258548790658883,4.136931818181818,4.6022055927530525,53.94830508139823,16.122019974226806,844.8909589041097,172.68426157784654
infys_secc_sitios_c2009_2014_derivado_mun_errorprecision_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",35.0,803.0,2070.0,2664.6520714449766,4046.0,10327.0,2389.4143196879545
infys_secc_sitios_c2009_2014_derivado_mun_errorprecisionaux_mean_20092014,infys,float64,numeric,18262,0.06251,23,7.9e-05,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.0,0.0,0.0132523467697404,0.03212608483328812,0.0427594779366065,0.1945477075588599,0.04687962912190077
infys_secc_sitios_c2009_2014_derivado_mun_errorprecisionaux_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.0,604.0,1614.0,1984.2296486051976,2810.0,7818.0,1752.0663499498185
infys_secc_sitios_c2009_2014_derivado_mun_n_registros_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,803.0,2070.0,2680.5239969612917,4096.0,10362.0,2403.7544800723163
infys_secc_sitios_c2009_2014_derivado_mun_pendientec1_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",32.0,737.0,1850.0,2544.2641132095473,3711.0,10053.0,2335.328285193083
infys_secc_sitios_c2009_2014_derivado_mun_pendientec2_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",32.0,736.0,1850.0,2544.2641132095473,3711.0,10052.0,2335.3715821576316
infys_secc_sitios_c2009_2014_derivado_mun_pendientec3_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",32.0,681.0,1697.0,2319.0704662297053,3266.0,9989.0,2249.307599084926
infys_secc_sitios_c2009_2014_derivado_mun_pendientec4_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",32.0,681.0,1697.0,2318.3608324647103,3262.0,9988.0,2249.048448274021
infys_secc_sitios_c2009_2014_derivado_mun_porcentajerepoblado_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",29.0,352.0,1060.0,1435.0762892426196,2077.0,5821.0,1373.9987435844496
infys_secc_sitios_c2009_2014_derivado_mun_sitio_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",2.4134241245136185,2.461713635069741,2.479440789473684,2.4721099713539068,2.4902368093061904,2.5,0.022546951381767044
infys_secc_sitios_c2009_2014_derivado_mun_sitio_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,803.0,2070.0,2680.5239969612917,4096.0,10362.0,2403.7544800723163
infys_secc_sitios_c2009_2014_derivado_mun_x_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",-115.12154054449904,-103.98502230228335,-99.9171856307352,-100.52638054816131,-97.9120959258324,-88.18556874782004,6.1871687323502025
infys_secc_sitios_c2009_2014_derivado_mun_x_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",35.0,803.0,2070.0,2664.684334752575,4046.0,10327.0,2389.4621703237985
infys_secc_sitios_c2009_2014_derivado_mun_y_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",16.436123297770088,19.13980217505801,20.652663744581616,21.754023459711007,24.58103004017963,30.50245710681136,3.653034578964197
infys_secc_sitios_c2009_2014_derivado_mun_y_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",35.0,803.0,2070.0,2664.684334752575,4046.0,10327.0,2389.4621703237985
infys_secc_sitios_c2015_2020_derivado_punto_conarboladoc3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,334.0,926.0,1334.8367323187722,1975.0,4749.0,1221.5882732384612
infys_secc_sitios_c2015_2020_derivado_punto_conarboladomanglarc3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,334.0,926.0,1334.8367323187722,1975.0,4749.0,1221.5882732384612
infys_secc_sitios_c2015_2020_derivado_punto_concobertura1m2c3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,334.0,926.0,1334.8367323187722,1975.0,4749.0,1221.5882732384612
infys_secc_sitios_c2015_2020_derivado_punto_confotografiahemisfericac3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,334.0,926.0,1334.8367323187722,1975.0,4749.0,1221.5882732384612
infys_secc_sitios_c2015_2020_derivado_punto_conparametrosfisicoquimicosc3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,334.0,926.0,1334.8367323187722,1975.0,4749.0,1221.5882732384612
infys_secc_sitios_c2015_2020_derivado_punto_consotobosquec3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,334.0,926.0,1334.8367323187722,1975.0,4749.0,1221.5882732384612
